Filename,New Title,Summary,Tags,Level,Target Population,Trigger Keywords,Primary Therapeutic Technique,Word Count,Estimated Duration (min)
Script_29.docx,Rebuilding From Within,"A session designed to guide individuals in releasing old familial patterns and reclaiming inner stability, using grounding techniques, self-affirmation, and emotional visualization.",#selfreconstruction #innerstrength #emotionalhealing #grounding #resilience,Intense,Adult,"self reconstruction, inner strength, emotional healing, grounding, resilience",Suggestive and Visualization Hypnosis,775,6.74
Script_30.docx,Letting Go of What Drains Me,"A session designed to guide individuals in releasing emotional burdens and reconnecting to inner calm, using visualization, grounding techniques, and symbolic letting go.",#lettinggo #emotionalrelease #selfrenewal #innerstrength #calmness,Intense,Adult,"letting go, emotional release, self-renewal, inner strength, calmness",Suggestive and Visualization Hypnosis,896,7.79
Script_31.docx,Empowering the Child Within,"A session designed to guide individuals in reconnecting with their inner child, fostering self-acceptance, playfulness, and emotional healing.",#confidence #innerchild #selfacceptance #playfulness #emotionalhealing,Moderate,Adult,"confidence, inner child, self-acceptance, playfulness, emotional healing",Suggestive and Visualization Hypnosis,918,7.98
Script_32.docx,Rebuilding Safety from Within,"A session designed to help individuals restore a sense of inner safety after a traumatic event, using visualization, grounding techniques, and self-reassurance.",#safety #emotionalreconstruction #innerstrength #grounding #selftrust,Intense,Adult,"safety, emotional reconstruction, inner strength, grounding, self-trust",Suggestive and Visualization Hypnosis,1078,9.37
Script_33.docx,"When the World Cuts Me, I Stay Whole","A session designed to reinforce self-worth and resilience amidst bullying or external criticism, using grounding techniques, protective visualization, and self-soothing affirmations.",#self-worth #resilience #emotionalstrength #bullying #innercalm,Intense,Child/Teen,"self-worth, resilience, emotional strength, bullying, inner calm",Suggestive and Visualization Hypnosis,1061,9.23
Script_34.docx,Reclaiming My Worth Beyond Being Chosen,"A session designed to guide individuals in reclaiming self-worth beyond the need for external validation, using visualization, self-soothing techniques, and self-forgiveness.",#self-worth #emotionalrelease #identity #lettinggo #self-forgiveness,Intense,Adult,"self-worth, emotional release, identity, letting go, self-forgiveness",Suggestive and Visualization Hypnosis,1034,8.99
Script_35.docx,Restoring Sleep and Inner Calm,"A session designed to release ruminations and restore a deep sense of calm, using soothing visualizations, gentle body relaxation, and self-compassion techniques.",#sleep #rumination #calm #self-soothing #emotionalrelease,Moderate,Adult,"sleep, rumination, calm, self-soothing, emotional release",Suggestive and Visualization Hypnosis,1569,13.64
Script_36.docx,"Reclaiming My Inner Compass – Feeling Enough, At Last","A session designed to guide individuals in reconnecting with their inner compass, releasing self-imposed roles, and embracing self-worth beyond external validation.",#SelfWorth #EmotionalExhaustion #InvisibilityWound #SelfRepair #BodyImageRestoration,Intense,Adult,"self-worth, emotional exhaustion, invisibility wound, self-repair, body image restoration",Suggestive and Visualization Hypnosis,791,6.88
Script_37.docx,Let the Body Digest What the Mind Holds On To,"A session designed to help individuals release emotional tension held within the body, using gentle visualization, body awareness, and mindful breathing to foster inner calm.",#DigestEmotions #BodyAwareness #EmotionalRelease #InnerCalm #MindBodyConnection,Intense,Adult,"digest emotions, body awareness, emotional release, inner calm, mind-body connection",Somatic Hypnosis,1064,9.25
Script_38.docx,"Return to the Night – When You’ve Carried Too Much, For Too Long","A session designed to help individuals release emotional and mental burdens before sleep, using calming visualizations and a safe space for rest.",#Restoration #LettingGo #NightTime #EmotionalRelease #Calmness,Intense,Adult,"restoration, letting go, night time, emotional release, calmness",Suggestive and Visualization Hypnosis,663,5.77
Script_39.docx,Reconnecting with the Body – A Path to Inner Calm,"A session designed to help individuals reconnect with their body, listen to its messages, and cultivate inner calm through gentle visualization and mindful breathing.",#BodyAwareness #InnerCalm #EmotionalHealing #SelfConnection #Grounding,Moderate,Adult,"body awareness, inner calm, emotional healing, self connection, grounding",Suggestive and Visualization Hypnosis,653,5.68
Script_40.docx,Giving My Body a Voice – Reclaiming the Right to Be Heard,"A session designed to help individuals reconnect with their body, allowing it to speak and express what has been held within, fostering emotional release and self-connection.",#BodyAwareness #EmotionalRelease #InnerVoice #SelfConnection #Healing,Intense,Adult,"body awareness, emotional release, inner voice, self-connection, healing",Suggestive and Visualization Hypnosis,414,3.6
Script_41.docx,Let the Night Watch Over You – A Soothing Journey into Rest,"A session designed to help individuals release the day's tension and settle into a state of deep rest, using calming visualizations and self-compassionate affirmations.",#NightRest #EmotionalCalm #Relaxation #SleepPreparation #SelfCompassion,Moderate,Adult,"night rest, emotional calm, relaxation, sleep preparation, self compassion",Suggestive and Visualization Hypnosis,665,5.78
Script_42.docx,Freeing the Body from Hypervigilance,"A session designed to help individuals release hypervigilance held within the body, using grounding techniques, breathwork, and gentle dissociation to restore calm.",#Hypervigilance #BodyAwareness #Relaxation #Grounding #EmotionalRelease,Intense,Adult,"hypervigilance, body awareness, relaxation, grounding, emotional release",Somatic Hypnosis,1135,9.87
Script_43.docx,Soothing Loneliness and Finding an Inner Resting Space,"A session designed to soothe feelings of loneliness and reconnect with oneself by creating a calming, supportive inner space through body awareness and emotional grounding.",#Loneliness #InnerCalm #BodyAwareness #EmotionalRest #SelfCompassion,Intense,Adult,"loneliness, inner calm, body awareness, emotional rest, self-compassion",Somatic Hypnosis,1767,15.37
Script_44.docx,Let the Body Digest What the Mind Holds On To,"A session designed to help individuals release emotional tension held within the body, using gentle visualization and mindful breathing to foster inner calm.",#DigestEmotions #BodyAwareness #EmotionalRelease #InnerCalm #MindBodyConnection,Moderate,Adult,"digest emotions, body awareness, emotional release, inner calm, mind-body connection",Suggestive and Visualization Hypnosis,1089,9.47
Script_45.docx,"Soothing Difficult Evenings – Rest for the Body, Peace for the Belly","A session designed to release evening tensions, soothe the belly, and cultivate inner calm through gentle body awareness and calming visualizations.",#EveningRelaxation #CalmBelly #BodyAwareness #EmotionalRest #SleepPreparation,Moderate,Adult,"evening relaxation, calm belly, body awareness, emotional rest, sleep preparation",Somatic Hypnosis,971,8.44
Script_46.docx,Taming Sleep and Reconnecting with Inner Safety,"A session designed to guide individuals into a state of deep relaxation, using a symbolic staircase descent and breath awareness to release tension and foster inner calm.",#Sleep #InnerSafety #Relaxation #Grounding #Calmness,Moderate,Adult,"sleep, inner safety, relaxation, grounding, calmness",Suggestive and Visualization Hypnosis,1276,11.1
Script_47.docx,Trusting My Body Again,"A session designed to help individuals rebuild trust in their body, using grounding techniques, breathwork, and emotional reconnection to foster inner calm and resilience.",#BodyTrust #Healing #SelfReconnection #Breathwork #EmotionalCalm,Intense,Adult,"body trust, healing, self-reconnection, breathwork, emotional calm",Somatic Hypnosis,892,7.76
Script_48.docx,"When the World Cuts Me Off, I Remain Whole","A session designed to help individuals maintain their sense of self even in the face of emotional interruptions, using grounding techniques, visualization, and inner dialogue.",#EmotionalResilience #SelfConnection #InnerStrength #Boundaries #Calmness,Intense,Adult,"emotional resilience, self connection, inner strength, boundaries, calmness",Suggestive and Visualization Hypnosis,1061,9.23
Script_49.docx,I Become the Author of My Choices Again,"A session designed to help individuals reconnect with their personal agency, using visualization and self-reflection to release external expectations and reclaim their voice.",#Empowerment #SelfDirection #LifeChoices #InnerStrength #SelfTrust,Intense,Adult,"empowerment, self-direction, life choices, inner strength, self-trust",Suggestive and Visualization Hypnosis,816,7.1
Script_50.docx,Rising from Shock and Building Inner Peace,"A session designed to help individuals process the lingering echoes of shock, allowing the mind and body to release tension and restore a sense of inner calm.",#ShockRecovery #InnerPeace #EmotionalAnchoring #Breathwork #EmotionalRelease,Intense,Adult,"shock recovery, inner peace, emotional anchoring, breathwork, emotional release",Suggestive and Visualization Hypnosis,939,8.17
Script_51.docx,"Taming My Body, Soothing My Mind","A guided session to release control over bodily sensations, transform internal tension into calm, and reconnect with the body as a place of safety. Using visualizations of a garden, a bench, and calming phrases, this session encourages emotional and physical self-soothing.",#BodyAwareness #EmotionalCalm #SelfConnection #Breathwork #SelfSoothing,Moderate,Adult,"BodyAwareness, EmotionalCalm, SelfConnection, Breathwork, SelfSoothing",Suggestive and Visualization Hypnosis,980,8.52
Script_52.docx,"You're Not Dying, You're Feeling","A grounding session designed to reframe panic attacks as emotional waves rather than threats. Using breathwork, visualization, and self-soothing techniques, the session guides the listener to reconnect with their body and calm their inner alarm system.","PanicAttacks, EmotionalAwareness, Grounding, BreathWork, Calmness",Intense,Adult,"Panic, Anxiety, Grounding, Calmness, Breathwork",Suggestive and Visualization Hypnosis,1094,9.51
Script_53.docx,Releasing the Inner Child’s Voice,"A session designed to give a voice to the suppressed emotions of the inner child. Through visualizations of a safe room, a comforting presence, and a symbolic letter, the listener is guided to release long-held emotions and reconnect with their inner child.","InnerChild, EmotionalRelease, SelfCompassion, Forgiveness, Healing",Intense,Adult,"InnerChild, Forgiveness, EmotionalRelease, SelfCompassion, Healing",Suggestive and Visualization Hypnosis,907,7.89
Script_54.docx,Your Body Knows What It's Doing,"A session that fosters trust in the body's natural wisdom, using breathwork and calming visualizations to ground the listener during moments of anxiety and uncertainty.","BodyAwareness, TrustYourBody, AnxietyRelief, Breathwork, SelfSoothing",Moderate,Adult,"BodyAwareness, AnxietyRelief, Breathwork, Calmness, SelfSoothing",Suggestive and Visualization Hypnosis,874,7.6
Script_55.docx,Calm in the Eye of the Storm,"A grounding session designed to help the listener find inner calm amidst emotional chaos. Through soothing visualizations of a peaceful center within a storm, the session guides the listener to anchor in stability and reclaim their sense of control.","EmotionalCalm, AnxietyRelief, Centering, Grounding, InnerPeace",Intense,Adult,"EmotionalCalm, AnxietyRelief, Centering, Grounding, InnerPeace",Suggestive and Visualization Hypnosis,888,7.72
Script_56.docx,Healing the Emotional Wound,"A therapeutic session aimed at addressing and healing deep emotional wounds. Through guided visualizations of a protective space and a healing light, the listener is encouraged to release pain and foster emotional regeneration.","EmotionalHealing, TraumaRelease, InnerPeace, SelfCompassion, EmotionalRegeneration",Intense,Adult,"EmotionalHealing, TraumaRelease, SelfCompassion, InnerPeace, EmotionalRegeneration",Suggestive and Visualization Hypnosis,932,8.1
Script_57.docx,Rediscovering Meaning Where the Heart Went Silent,"A reflective session designed to reconnect with the core reasons behind one's path and restore a sense of purpose. Using visualizations of familiar yet emotionally charged spaces, the listener is invited to acknowledge emotional fatigue and rediscover what truly matters.","InnerCalm, EmotionalReset, SelfConnection, LifePurpose, EmotionalFatigue, SelfReflection",Intense,Adult,"EmotionalFatigue, InnerCalm, SelfConnection, LifePurpose, EmotionalReset",Suggestive and Visualization Hypnosis,735,6.39
Script_58.docx,Inner Security Postpartum,"A calming session designed to restore inner security and self-trust after postpartum experiences. Utilizing gentle visualizations of a cocoon and a safe room, this journey fosters emotional healing and a renewed sense of stability.","PostpartumAnxiety, InnerSafety, EmotionalHealing, SelfAnchoring, Calmness, TraumaRelease",Intense,Adult,"PostpartumAnxiety, InnerSafety, EmotionalHealing, Calmness, SelfAnchoring",Suggestive and Visualization Hypnosis,830,7.22
Script_59.docx,Finding Inner Space Even in Closed Places,"A calming session designed to create a sense of inner expansiveness even in confined or restrictive environments. Through guided breathwork and visualizations of open spaces, the listener is led to release feelings of claustrophobia and reclaim emotional calm.","Claustrophobia, InnerCalm, BreathWork, EmotionalFreedom, SelfAnchoring, Calmness",Moderate,Adult,"Claustrophobia, InnerCalm, BreathWork, EmotionalFreedom, SelfAnchoring",Suggestive and Visualization Hypnosis,606,5.27
Script_60.docx,Loving My Body Despite Yesterday’s Eyes,"A session that guides the listener in releasing old narratives of body shame and embracing self-acceptance. Through compassionate dialogue with the inner child, the listener is invited to reconnect with their body as a source of safety and resilience.","BodyImage, SelfAcceptance, EmotionalHealing, SelfCompassion, InnerChild, Empowerment",Moderate,Adult,"BodyImage, SelfAcceptance, EmotionalHealing, SelfCompassion, InnerChild",Suggestive and Visualization Hypnosis,733,6.37
Script_61.docx,"Calm the Mind, Soothe the Heart","A session that provides gentle guidance to release mental chatter and connect with the heart space. Through slow breathing and comforting visualizations, the listener is invited to let go of emotional tension and restore inner calm.","AnxietyRelief, EmotionalCalm, BreathWork, SelfSoothing, InnerPeace, LettingGo",Moderate,Adult,"AnxietyRelief, EmotionalCalm, BreathWork, SelfSoothing, InnerPeace",Suggestive and Visualization Hypnosis,614,5.34
Script_62.docx,Letting Go of the Weight of Words,"A session designed to help the listener release the emotional weight carried from hurtful words or criticism. Through visualizations of shedding layers and cleansing breaths, the listener is guided to let go of negativity and reclaim inner peace.","EmotionalRelease, LettingGo, InnerPeace, SelfCompassion, HealingWords, Forgiveness",Moderate,Adult,"EmotionalRelease, LettingGo, SelfCompassion, InnerPeace, HealingWords",Suggestive and Visualization Hypnosis,638,5.55
Script_63.docx,The Safe Space Within,"A session that invites the listener to build an inner sanctuary, a personal safe space where they can retreat to restore calm and process difficult emotions. Using grounding techniques and calming visualizations, the listener is guided to reconnect with their inner sense of safety.","InnerSafety, Grounding, EmotionalCalm, SelfConnection, SafeSpace, InnerPeace",Moderate,Adult,"InnerSafety, Grounding, EmotionalCalm, SelfConnection, SafeSpace",Suggestive and Visualization Hypnosis,614,5.34
Script_64.docx,Unfolding the Layers of Grief,"A session designed to gently explore and release the layers of grief. Through compassionate guidance and soothing visualizations, the listener is invited to acknowledge their feelings, honor the loss, and begin to heal.","GriefRelease, EmotionalHealing, InnerCalm, SelfCompassion, LettingGo, HealingJourney",Intense,Adult,"GriefRelease, EmotionalHealing, SelfCompassion, LettingGo, HealingJourney",Suggestive and Visualization Hypnosis,707,6.15
Script_65.docx,The Mirror of Self-Compassion – Releasing the Grip of Self-Judgment,"A reflective session that guides the listener through a hallway of mirrors, each reflecting a past self, inviting them to release self-judgment, embrace self-compassion, and let go of internalized shame.","SelfCompassion, ShameRelease, EmotionalRegulation, SelfForgiveness, InnerChild, SelfWorth",Intense,Adult,"SelfCompassion, ShameRelease, SelfForgiveness, InnerChild, EmotionalRegulation",Suggestive and Visualization Hypnosis,728,6.33
Script_66.docx,The River of Release – Letting Go of Emotional Baggage,"A session that invites the listener to let go of emotional burdens by visualizing a river that carries away old pain, resentment, and lingering regrets. The listener is guided to feel lighter and more emotionally free.","LettingGo, EmotionalRelease, Forgiveness, InnerPeace, HealingJourney",Moderate,Adult,"LettingGo, EmotionalRelease, Forgiveness, InnerPeace, HealingJourney",Metaphoric Hypnosis,745,6.48
Script_67.docx,Awakening Inner Strength – From Fear to Empowerment,"A session designed to help the listener transform fear into inner strength. Through grounding techniques and empowering visualizations, the listener is guided to reconnect with their inner warrior and regain confidence in facing challenges.","Empowerment, InnerStrength, OvercomingFear, Resilience, ConfidenceBoost",Intense,Adult,"Empowerment, OvercomingFear, Resilience, ConfidenceBoost, InnerStrength",Suggestive and Visualization Hypnosis,707,6.15
Script_68.docx,Bridging the Gap – Reconnecting with the Inner Child,"A session that guides the listener through a gentle encounter with their inner child, inviting them to hold space for unexpressed emotions and offer the comfort that was once missing. The listener is led to re-establish a connection of trust, warmth, and self-compassion.","InnerChild, SelfCompassion, EmotionalHealing, Forgiveness, SelfConnection, EmotionalRelease",Intense,Adult,"InnerChild, EmotionalHealing, SelfCompassion, Forgiveness, SelfConnection",Suggestive and Visualization Hypnosis,906,7.88
Script_69.docx,Embracing Uncertainty – Finding Ground Amidst the Unknown,"A session that invites the listener to accept and navigate uncertainty with a sense of calm and groundedness. Through visualizations of standing firmly amidst a storm and breathing techniques, the listener is guided to find inner stability despite external chaos.","Uncertainty, Grounding, EmotionalCalm, Resilience, LettingGo, InnerStrength",Moderate,Adult,"Uncertainty, Grounding, EmotionalCalm, Resilience, LettingGo",Suggestive and Visualization Hypnosis,745,6.48
Script_70.docx,Restoring Personal Power and Emotional Grounding,"A session that guides the listener to reconnect with their inner strength and sense of personal power. Through grounding techniques and affirmations, the listener is invited to stand tall, reclaim their voice, and release emotional burdens.","EmotionalDetachment, PersonalPower, CareerClarity, EmotionalGrounding, SelfValidation, Assertiveness",Moderate,Adult,"PersonalPower, EmotionalGrounding, SelfValidation, Assertiveness, CareerClarity",Suggestive and Visualization Hypnosis,669,5.82
Script_71.docx,Healing the Inner Child – Rewriting Childhood Narratives,"A session that gently guides the listener to revisit childhood memories with compassion and reframe old narratives through the eyes of the present self. The listener is invited to offer comfort, validation, and emotional healing to the inner child.","InnerChildHealing, SelfCompassion, EmotionalReparenting, SelfValidation, Forgiveness, EmotionalRelease",Intense,Adult,"InnerChildHealing, EmotionalReparenting, SelfValidation, Forgiveness, EmotionalRelease",Regressive Hypnosis,657,5.71
